"id","name","type","verses"
1,"الفاتحة","Meccan",7
2,"البقرة","Medinan",286
3,"آل عمران","Medinan",200
4,"النساء","Meccan",176
5,"المائدة","Medinan",120
6,"الأنعام","Meccan",165
7,"الأعراف","Meccan",206
8,"الأنفال","Medinan",75
9,"التوبة","Medinan",129
10,"يونس","Meccan",109
11,"هود","Meccan",123
12,"يوسف","Meccan",111
13,"الرعد","Medinan",43
14,"ابراهيم","Meccan",52
15,"الحجر","Meccan",99
16,"النحل","Meccan",128
17,"الإسراء","Meccan",111
18,"الكهف","Meccan",110
19,"مريم","Meccan",98
20,"طه","Meccan",135
21,"الأنبياء","Meccan",112
22,"الحج","Medinan",78
23,"المؤمنون","Meccan",118
24,"النور","Medinan",64
25,"الفرقان","Meccan",77
26,"الشعراء","Meccan",227
27,"النمل","Meccan",93
28,"القصص","Meccan",88
29,"العنكبوت","Meccan",69
30,"الروم","Meccan",60
31,"لقمان","Meccan",34
32,"السجدة","Meccan",30
33,"الأحزاب","Medinan",73
34,"سبإ","Meccan",54
35,"فاطر","Meccan",45
36,"يس","Meccan",83
37,"الصافات","Meccan",182
38,"ص","Meccan",88
39,"الزمر","Meccan",75
40,"غافر","Meccan",85
41,"فصلت","Meccan",54
42,"الشورى","Meccan",53
43,"الزخرف","Meccan",89
44,"الدخان","Meccan",59
45,"الجاثية","Meccan",37
46,"الأحقاف","Meccan",35
47,"محمد","Medinan",38
48,"الفتح","Medinan",29
49,"الحجرات","Medinan",18
50,"ق","Meccan",45
51,"الذاريات","Meccan",60
52,"الطور","Meccan",49
53,"النجم","Meccan",62
54,"القمر","Meccan",55
55,"الرحمن","Medinan",78
56,"الواقعة","Meccan",96
57,"الحديد","Medinan",29
58,"المجادلة","Medinan",22
59,"الحشر","Medinan",24
60,"الممتحنة","Medinan",13
61,"الصف","Medinan",14
62,"الجمعة","Medinan",11
63,"المنافقون","Medinan",11
64,"التغابن","Medinan",18
65,"الطلاق","Medinan",12
66,"التحريم","Medinan",12
67,"الملك","Meccan",30
68,"القلم","Meccan",52
69,"الحاقة","Meccan",52
70,"المعارج","Meccan",44
71,"نوح","Meccan",28
72,"الجن","Meccan",28
73,"المزمل","Meccan",20
74,"المدثر","Meccan",56
75,"القيامة","Meccan",40
76,"الانسان","Medinan",31
77,"المرسلات","Meccan",50
78,"النبإ","Meccan",40
79,"النازعات","Meccan",46
80,"عبس","Meccan",42
81,"التكوير","Meccan",29
82,"الإنفطار","Meccan",19
83,"المطففين","Meccan",36
84,"الإنشقاق","Meccan",25
85,"البروج","Meccan",22
86,"الطارق","Meccan",17
87,"الأعلى","Meccan",19
88,"الغاشية","Meccan",26
89,"الفجر","Meccan",30
90,"البلد","Meccan",20
91,"الشمس","Meccan",15
92,"الليل","Meccan",21
93,"الضحى","Meccan",11
94,"الشرح","Meccan",8
95,"التين","Meccan",8
96,"العلق","Meccan",19
97,"القدر","Meccan",5
98,"البينة","Medinan",8
99,"الزلزلة","Medinan",8
100,"العاديات","Meccan",11
101,"القارعة","Meccan",11
102,"التكاثر","Meccan",8
103,"العصر","Meccan",3
104,"الهمزة","Meccan",9
105,"الفيل","Meccan",5
106,"قريش","Meccan",4
107,"الماعون","Meccan",7
108,"الكوثر","Meccan",3
109,"الكافرون","Meccan",6
110,"النصر","Medinan",3
111,"المسد","Meccan",5
112,"الإخلاص","Meccan",4
113,"الفلق","Meccan",5
114,"الناس","Meccan",6
