"id","sheikh_id","name","audio"
1,1,"الفاتحة","Alfatiha.mp3"
2,1,"البقرة",
3,1,"آل عمران",
4,1,"النساء",
5,1,"المائدة",
6,1,"الأنعام",
7,1,"الأعراف",
8,1,"الأنفال",
9,1,"التوبة",
10,1,"يونس",
11,1,"هود",
12,1,"يوسف",
13,1,"الرعد",
14,1,"إبراهيم",
15,1,"الحجر",
1,2,"الفاتحة",
2,2,"البقرة",
3,2,"آل عمران",
4,2,"النساء",
5,2,"المائدة",
6,2,"الأنعام",
7,2,"الأعراف",
8,2,"الأنفال",
9,2,"التوبة",
10,2,"يونس",
11,2,"هود",
12,2,"يوسف",
13,2,"الرعد",
14,2,"إبراهيم",
15,2,"الحجر",
1,3,"الفاتحة",
2,3,"البقرة",
3,3,"آل عمران",
4,3,"النساء",
5,3,"المائدة",
6,3,"الأنعام",
7,3,"الأعراف",
8,3,"الأنفال",
9,3,"التوبة",
10,3,"يونس",
11,3,"هود",
12,3,"يوسف",
13,3,"الرعد",
14,3,"إبراهيم",
15,3,"الحجر",
1,4,"الفاتحة",
1,4,"البقرة",
1,4,"آل عمران",
1,4,"النساء",
1,4,"المائدة",
1,4,"الأنعام",
1,4,"الأعراف",
1,4,"الأنفال",
1,4,"التوبة",
1,4,"يونس",
1,4,"هود",
1,4,"يوسف",
1,4,"الرعد",
1,4,"إبراهيم",
1,4,"الحجر",
1,5,"الفاتحة",
2,5,"البقرة",
3,5,"آل عمران",
4,5,"النساء",
5,5,"المائدة",
6,5,"الأنعام",
7,5,"الأعراف",
8,5,"الأنفال",
9,5,"التوبة",
10,5,"يونس",
11,5,"هود",
12,5,"يوسف",
13,5,"الرعد",
14,5,"إبراهيم",
15,5,"الحجر",
1,6,"الفاتحة",
2,6,"البقرة",
3,6,"آل عمران",
4,6,"النساء",
5,6,"المائدة",
6,6,"الأنعام",
7,6,"الأعراف",
8,6,"الأنفال",
9,6,"التوبة",
10,6,"يونس",
11,6,"هود",
12,6,"يوسف",
13,6,"الرعد",
14,6,"إبراهيم",
15,6,"الحجر",
1,7,"الفاتحة",
2,7,"البقرة",
3,7,"آل عمران",
4,7,"النساء",
5,7,"المائدة",
6,7,"الأنعام",
7,7,"الأعراف",
8,7,"الأنفال",
9,7,"التوبة",
10,7,"يونس",
11,7,"هود",
12,7,"يوسف",
13,7,"الرعد",
14,7,"إبراهيم",
15,7,"الحجر",
